n_features,classifier,cv_accuracy_mean,cv_accuracy_std,cv_auc_mean,cv_auc_std,cv_f1_mean,cv_f1_std
10,LogisticRegression,0.6624624624624624,0.0876259604202442,0.7038011695906433,0.07262771787723989,0.6482878860046043,0.0996388270410819
10,KNeighbors,0.537987987987988,0.024706886693185152,0.6055230669265758,0.05047739789237723,0.5588855205223492,0.053375209320430994
10,RandomForest,0.6411411411411412,0.07975786024728963,0.6627355425601039,0.08063775884933515,0.6161853430242455,0.09254537703226119
25,LogisticRegression,0.6031531531531532,0.0851863614414602,0.6739441195581546,0.05201615174659142,0.5731874731874733,0.11071478305528182
25,KNeighbors,0.5818318318318318,0.07208771101596277,0.6150909681611435,0.11291137770525757,0.6053561299732599,0.08045280347035731
25,RandomForest,0.6247747747747748,0.09357667675371953,0.6679824561403509,0.09318544175556268,0.6084183084183085,0.11053724983694403
50,LogisticRegression,0.6087087087087087,0.08461650397846944,0.6631254061078622,0.051957677960909665,0.5811239811239812,0.11172196178167033
50,KNeighbors,0.6195195195195196,0.051452230434660344,0.667300194931774,0.07012594366748619,0.638135198135198,0.04716271572324567
50,RandomForest,0.6193693693693694,0.06940446052886995,0.6818875893437296,0.08943269833342692,0.6101789134047199,0.08648300935329133
100,LogisticRegression,0.6034534534534534,0.03450318462154335,0.64545159194282,0.04406655885130644,0.595950235950236,0.04451462419115717
100,KNeighbors,0.6465465465465466,0.10871368594781065,0.6998538011695906,0.11278706786268995,0.66004329004329,0.10691532970997014
100,RandomForest,0.6249249249249249,0.1004566223522166,0.660899935022742,0.12610774272589192,0.6204183535762483,0.11980708820418082
all,LogisticRegression,0.6144144144144144,0.05045045045045042,0.6570825211176088,0.043900541666588966,0.6246565199506375,0.05980483249975136
all,KNeighbors,0.6249249249249249,0.04370788083762224,0.6256985055230668,0.0966781246879507,0.6518970189701897,0.04679362288863617
all,RandomForest,0.6252252252252252,0.06804038770630344,0.6792072774528914,0.09480131833780568,0.6127279911490437,0.08801884383989877
