feature,chi2_stat,anova_f,mw_u,score
PREDICT_original_tf_GLCM_energyd3.0A0.0,0.0013662282337721346,0.0007240717222185354,0.8833452608636079,462.8333333333333
PREDICT_original_tf_GLCM_energyd3.0A2.36,4.367399087742811e-05,0.0009303778444172312,0.7755259869789234,460.5
PREDICT_original_tf_Gabor_min_F0.05_A1.57,0.0010536196110615815,0.06828758888477808,0.9966692141055096,458.0
PREDICT_original_tf_GLCM_energyd3.0A1.57,0.00011716450127242188,0.007325261827099101,0.6300071053556544,450.3333333333333
PREDICT_original_logf_quartile_range_sigma1,0.03334212914754074,0.001954434125793826,0.8075197834294419,443.6666666666667
PREDICT_original_tf_Gabor_std_F0.05_A2.36,0.00027430568350845206,0.050608007468303656,0.6065958562827862,442.3333333333333
PREDICT_original_logf_kurtosis_sigma1,0.06826192368063781,0.013811790335613656,0.9184121637289367,440.3333333333333
PREDICT_original_tf_Gabor_min_F0.2_A1.57,0.00017985459439765085,0.09659811578182088,0.662773051406832,440.3333333333333
PREDICT_original_tf_GLCM_ASMd1.0A0.0,0.0030436088597582175,0.020797561123086495,0.5572578539929142,437.6666666666667
"PREDICT_original_vf_Frangi_inner_quartile_range_SR(1.0, 10.0)_SS2.0",0.03672439503312773,0.04778820781896185,0.7968164729350267,435.8333333333333
PREDICT_original_tf_GLCM_ASMd1.0A2.36,0.025402082154342615,0.0006534370122160656,0.5969572834241492,435.5
PREDICT_original_tf_GLCM_energyd3.0A0.79,0.07130156424592982,0.03828059163695313,0.9162151030661845,435.5
PREDICT_original_tf_Gabor_quartile_range_F0.2_A1.57,0.05688421876319548,0.061111442970772034,0.8248985617954052,430.0
PREDICT_original_tf_Gabor_peak_position_F0.2_A1.57,0.16056818434620374,0.012008358350459988,0.9104013984183433,426.3333333333333
PREDICT_original_tf_Gabor_peak_position_F0.2_A0.0,0.01727978655585484,0.18115486929722568,0.7311254468701347,426.0
PREDICT_original_tf_Gabor_min_F0.05_A2.36,0.03735080991372498,0.20839908797613013,0.8405282095856261,425.0
PREDICT_original_tf_GLCMMS_homogeneityd1.0A0.79mean,0.14550601709668404,0.025376423954054938,0.8724302866097073,424.8333333333333
PREDICT_original_tf_GLCM_homogeneityd1.0A1.57,0.14550601709668384,0.025376423954055708,0.8724302866097073,424.8333333333333
PREDICT_original_logf_median_sigma10,0.10941894337726432,0.06683901278976219,0.8702500727411151,424.0
PREDICT_original_logf_quartile_range_sigma5,0.02604278466559764,0.05562406120230204,0.5854838971201115,422.6666666666667
PREDICT_original_tf_Gabor_peak_position_F0.05_A0.0,0.04576089162762664,0.2485182173991612,0.8450272775556704,421.0
"PREDICT_original_vf_Frangi_full_max_SR(1.0, 10.0)_SS2.0",0.0002898887641276639,0.3323078283920368,0.5873890025667056,419.5
"PREDICT_original_vf_Frangi_edge_max_SR(1.0, 10.0)_SS2.0",0.0002898887641276639,0.3323078283920368,0.5873890025667056,419.5
PREDICT_original_tf_GLCM_ASMd1.0A0.79,0.09114848030397724,0.001379273205951246,0.542479844369036,414.5
PREDICT_original_logf_peak_position_sigma1,0.3095896130476491,0.05428794895371037,0.9610954699255746,414.3333333333333
PREDICT_original_tf_LBP_range_R8_P24,0.000495547528438515,0.4373221733655372,0.5873495375102951,412.8333333333333
PREDICT_original_tf_GLCM_ASMd1.0A1.57,0.004266153730163563,0.034013979787895464,0.3069835450085352,412.1666666666667
PREDICT_original_tf_Gabor_min_F0.05_A0.0,0.007733163478314254,0.686507212960454,0.8271767139388599,410.3333333333333
PREDICT_original_tf_Gabor_skewness_F0.2_A1.57,0.08765134274460587,0.000575332409282348,0.4733504660142752,410.3333333333333
PREDICT_original_tf_Gabor_range_F0.05_A2.36,0.001167604189773153,0.0986093791305942,0.3432233544682226,410.0
PREDICT_original_tf_GLCMMS_homogeneityd1.0A0.0std,0.02986774708066784,0.1503202842016748,0.5153082206144377,408.5
PREDICT_original_tf_GLCM_homogeneityd1.0A0.79,0.029867747080667285,0.15032028420167604,0.5153082206144377,408.5
PREDICT_original_tf_Gabor_range_F0.2_A0.79,0.25773278749201045,0.007979737702701006,0.6799247742341519,407.3333333333333
PREDICT_original_tf_Gabor_std_F0.2_A1.57,0.33483952347658474,0.14340944442239562,0.9712900621071127,405.6666666666667
PREDICT_original_tf_GLCM_energyd1.0A0.79,0.06965057705984332,0.09956719219726565,0.542479844369036,404.5
PREDICT_original_tf_GLCM_ASMd3.0A0.0,0.34104823541673635,0.0950118200686619,0.8833452608636079,404.1666666666667
PREDICT_original_tf_Gabor_peak_position_F0.05_A2.36,0.003728391667273721,0.6133366963952489,0.5883286894717439,403.3333333333333
