,p_val,cohens_d,mi,rank
PREDICT_original_logf_energy_sigma5,0.008330594904692177,0.023005815287718397,0.0,81.5
PREDICT_original_tf_Gabor_energy_F0.05_A0.79,0.006500145817705782,0.08484630050570854,0.0,102.0
PREDICT_original_sf_convexity_std_2.5D,0.014726435584294512,0.09660125337353477,0.0,117.66666666666667
"PREDICT_original_vf_Frangi_inner_kurtosis_SR(1.0, 10.0)_SS2.0",0.0821033448576843,0.04321031795960335,0.0,119.66666666666667
PREDICT_original_tf_Gabor_energy_F0.05_A1.57,0.0026181071661423565,0.008272357892323005,0.020152039466331706,129.33333333333334
PREDICT_original_tf_Gabor_max_F0.2_A1.57,0.11031509145503599,0.04940290050966102,0.0,130.0
PREDICT_original_tf_Gabor_range_F0.2_A2.36,0.03580152998683254,0.11367518266861117,0.0,132.66666666666666
PREDICT_original_tf_Gabor_std_F0.2_A2.36,0.23386969520243828,0.0015677066111886699,0.0,136.33333333333334
PREDICT_original_phasef_monogenic_energy_WL3_N5,0.08456932729706525,0.08435494770562961,0.0,137.0
PREDICT_original_tf_LBP_kurtosis_R15_P36,0.13564283423574655,0.05757559179488052,0.0,139.83333333333334
PREDICT_original_sf_roughness_avg_2.5D,0.003986510974185094,0.07576993006860447,0.013137554147019337,140.0
PREDICT_original_tf_Gabor_energy_F0.5_A0.79,0.0050832625981104985,0.1833102222382217,0.0,144.0
PREDICT_original_tf_LBP_skewness_R15_P36,0.13564283423574655,0.07022479215469081,0.0,144.16666666666666
PREDICT_original_tf_Gabor_energy_F0.5_A0.0,0.006338644483331974,0.06444112350650959,0.015381915266859947,149.33333333333334
PREDICT_original_tf_Gabor_max_F0.2_A2.36,0.016682144135407216,0.164814798606193,0.0,152.0
PREDICT_original_phasef_phasecong_max_WL3_N5,0.09725206832340862,0.12007592598686902,0.0,152.66666666666666
PREDICT_original_phasef_phasecong_range_WL3_N5,0.09725206832340862,0.12007592598686902,0.0,152.66666666666666
PREDICT_original_tf_Gabor_std_F0.5_A1.57,0.18388952137353232,0.07300327563570284,0.0,155.0
PREDICT_original_sf_cvar_std_2.5D,0.45476683408514074,0.02131445817759975,0.0,160.0
PREDICT_original_tf_Gabor_skewness_F0.5_A0.79,0.14763969574484956,0.09864835603986574,0.0,160.83333333333334
